sys,t_res,s_res,filter_value,tr,ta,total_time
Vanilla,hour,1.0,310,9.666381120681763,0,9.666381120681763
Vanilla,hour,1.0,275,9.786307334899902,0,9.786307334899902
Vanilla,hour,1.0,205,9.66725468635559,0,9.66725468635559
Vanilla,hour,1.0,240,9.79025936126709,0,9.79025936126709
Vanilla,hour,1.0,310,9.845142602920532,0,9.845142602920532
Vanilla,hour,1.0,275,9.868022441864014,0,9.868022441864014
Vanilla,hour,1.0,205,9.762414932250977,0,9.762414932250977
Vanilla,hour,1.0,240,9.849476099014282,0,9.849476099014282
Vanilla,hour,1.0,310,9.927470207214355,0,9.927470207214355
Vanilla,hour,1.0,275,9.860665559768677,0,9.860665559768677
Vanilla,month,0.5,205,9.840617895126343,0,9.840617895126343
Vanilla,month,0.5,240,9.880079984664917,0,9.880079984664917
Vanilla,month,0.5,310,9.79485297203064,0,9.79485297203064
Vanilla,month,0.5,275,9.788511991500854,0,9.788511991500854
Vanilla,month,0.5,205,9.66125202178955,0,9.66125202178955
Vanilla,month,0.5,240,9.862813234329224,0,9.862813234329224
Vanilla,month,0.5,310,9.773362159729004,0,9.773362159729004
Vanilla,month,0.5,275,9.718905210494995,0,9.718905210494995
Vanilla,month,0.5,205,9.914080142974854,0,9.914080142974854
Vanilla,month,0.5,240,9.86354398727417,0,9.86354398727417
Vanilla,month,0.5,310,9.905803203582764,0,9.905803203582764
Vanilla,month,0.5,275,9.860782146453857,0,9.860782146453857
Vanilla,year,1.0,205,9.719120740890503,0,9.719120740890503
Vanilla,year,1.0,240,9.88646388053894,0,9.88646388053894
Vanilla,year,1.0,310,9.885370969772339,0,9.885370969772339
Vanilla,year,1.0,275,9.956836462020874,0,9.956836462020874
Vanilla,year,1.0,205,9.824409484863281,0,9.824409484863281
Vanilla,year,1.0,240,9.879465341567993,0,9.879465341567993
Vanilla,year,1.0,310,9.893356800079346,0,9.893356800079346
Vanilla,year,1.0,275,9.965552806854248,0,9.965552806854248
Vanilla,year,1.0,205,9.719443559646606,0,9.719443559646606
Vanilla,year,1.0,240,9.927344799041748,0,9.927344799041748
Vanilla,year,1.0,310,9.879554033279419,0,9.879554033279419
Vanilla,year,1.0,275,9.868963241577148,0,9.868963241577148
Vanilla,year,1.0,205,9.903289079666138,0,9.903289079666138
Vanilla,year,1.0,240,9.842080354690552,0,9.842080354690552
Vanilla,year,1.0,310,9.917112112045288,0,9.917112112045288
Vanilla,year,1.0,275,9.707106113433838,0,9.707106113433838
Vanilla,year,1.0,205,9.858691453933716,0,9.858691453933716
Vanilla,year,1.0,240,9.802995681762695,0,9.802995681762695
Vanilla,year,1.0,310,9.819149494171143,0,9.819149494171143
Vanilla,year,1.0,275,9.836559295654297,0,9.836559295654297
Vanilla,year,1.0,205,9.755717754364014,0,9.755717754364014
Vanilla,year,1.0,240,9.753620624542236,0,9.753620624542236
Vanilla,year,1.0,310,9.86769413948059,0,9.86769413948059
Vanilla,year,1.0,275,9.81593942642212,0,9.81593942642212
