sys,t_res,s_res,filter_value,tr,ta,total_time
Polaris,year,1.0,205,0.03263521194458008,0,0.03263521194458008
Polaris,year,1.0,205,0.03277230262756348,0,0.03277230262756348
Polaris,year,1.0,240,0.03403782844543457,0,0.03403782844543457
Polaris,year,1.0,240,0.03378701210021973,0,0.03378701210021973
Polaris,year,1.0,240,0.033713579177856445,0,0.033713579177856445
Polaris,year,1.0,275,0.03371310234069824,0,0.03371310234069824
Polaris,year,1.0,275,0.033983469009399414,0,0.033983469009399414
Polaris,year,1.0,275,0.03382062911987305,0,0.03382062911987305
Vanilla,hour,0.25,205,67.03823447227478,0,67.03823447227478
Vanilla,hour,0.25,205,42.53788948059082,0,42.53788948059082
Vanilla,hour,0.25,205,23.81498098373413,0,23.81498098373413
Vanilla,hour,0.25,240,18.177942276000977,0,18.177942276000977
Vanilla,hour,0.25,240,20.486403942108154,0,20.486403942108154
Vanilla,hour,0.25,240,11.020209550857544,0,11.020209550857544
Vanilla,hour,0.25,275,16.468396425247192,0,16.468396425247192
Vanilla,hour,0.25,275,20.95878314971924,0,20.95878314971924
Vanilla,hour,0.25,275,50.92536020278931,0,50.92536020278931
Vanilla,year,0.25,205,15.494364500045776,0,15.494364500045776
Vanilla,year,0.25,205,36.22791767120361,0,36.22791767120361
Vanilla,year,0.25,205,13.275121212005615,0,13.275121212005615
Vanilla,year,0.25,240,12.633983612060547,0,12.633983612060547
Vanilla,year,0.25,240,15.840677261352539,0,15.840677261352539
Vanilla,year,0.25,240,11.06192421913147,0,11.06192421913147
Vanilla,year,0.25,275,9.874794006347656,0,9.874794006347656
Vanilla,year,0.25,275,9.87827754020691,0,9.87827754020691
Vanilla,year,0.25,275,22.82843804359436,0,22.82843804359436
Vanilla,month,0.5,205,9.923969507217407,0,9.923969507217407
Vanilla,month,0.5,205,34.32098650932312,0,34.32098650932312
Vanilla,month,0.5,205,17.76701283454895,0,17.76701283454895
Vanilla,month,0.5,240,9.97234034538269,0,9.97234034538269
Vanilla,month,0.5,240,16.92349147796631,0,16.92349147796631
Vanilla,month,0.5,240,11.066852331161499,0,11.066852331161499
Vanilla,month,0.5,275,9.777059316635132,0,9.777059316635132
Vanilla,month,0.5,275,9.795496702194214,0,9.795496702194214
Vanilla,month,0.5,275,36.49310064315796,0,36.49310064315796
Vanilla,hour,1.0,205,9.842981338500977,0,9.842981338500977
Vanilla,hour,1.0,205,20.695192098617554,0,20.695192098617554
Vanilla,hour,1.0,205,12.785442590713501,0,12.785442590713501
Vanilla,hour,1.0,240,9.960210800170898,0,9.960210800170898
Vanilla,hour,1.0,240,18.87545371055603,0,18.87545371055603
Vanilla,hour,1.0,240,11.077181577682495,0,11.077181577682495
Vanilla,hour,1.0,275,9.920083284378052,0,9.920083284378052
Vanilla,hour,1.0,275,9.924367189407349,0,9.924367189407349
Vanilla,hour,1.0,275,21.75720238685608,0,21.75720238685608
Vanilla,year,1.0,205,9.804655075073242,0,9.804655075073242
Vanilla,year,1.0,205,9.81072187423706,0,9.81072187423706
Vanilla,year,1.0,205,11.052603006362915,0,11.052603006362915
Vanilla,year,1.0,240,9.934983015060425,0,9.934983015060425
Vanilla,year,1.0,240,9.933851718902588,0,9.933851718902588
